City,Country,Date,Cloudiness,Latitude,Longitude,Humidity,Max Temperature,Wind Speed
kavaratti,IN,1604802690,1,10.57,72.64,72,83.17,6.35
port hedland,AU,1604802691,0,-20.32,118.57,34,96.8,12.75
codrington,AU,1604802692,0,-38.27,141.97,67,63.05,10.65
saint-philippe,RE,1604802681,20,-21.36,55.77,64,71.6,6.93
presidencia roque saenz pena,AR,1604802694,62,-26.79,-60.44,57,72.19,8.19
tuktoyaktuk,CA,1604802694,75,69.45,-133.04,85,24.8,18.34
upernavik,GL,1604802696,36,72.79,-56.15,78,1.18,7.96
san cristobal,VE,1604802696,93,7.77,-72.22,91,66.81,0.49
ushuaia,AR,1604802467,20,-54.8,-68.3,44,57.2,17.22
madimba,TZ,1604802698,70,-10.4,40.33,86,76.78,5.99
rikitea,PF,1604802692,100,-23.12,-134.97,74,71.74,17.85
saint-joseph,RE,1604802691,20,-21.37,55.62,64,69.8,6.93
ust-omchug,RU,1604802696,94,61.15,149.63,88,-1.46,6.8
kutum,SD,1604802700,14,14.2,24.67,40,61.05,5.95
seddon,AU,1604802701,0,-37.81,144.89,45,69.01,5.82
rocha,UY,1604802702,1,-34.48,-54.33,96,55.26,2.98
busselton,AU,1604802683,97,-33.65,115.33,60,73.0,7.0
tiksi,RU,1604802703,69,71.69,128.87,92,-6.02,2.3
saskylakh,RU,1604802685,6,71.92,114.08,89,-9.36,8.43
castro,BR,1604802692,0,-24.79,-50.01,65,58.64,4.45
albany,US,1604802638,75,42.6,-73.97,93,54.0,3.2
meadow lake,US,1604802606,75,34.8,-106.54,27,66.0,11.41
airai,TL,1604802693,69,-8.93,125.41,35,82.0,6.31
ciudad del maiz,MX,1604802707,78,22.4,-99.6,97,56.25,3.11
dunbar,US,1604802708,1,38.36,-81.74,66,55.0,2.1
bredasdorp,ZA,1604802694,44,-34.53,20.04,82,57.2,11.41
richards bay,ZA,1604802709,0,-28.78,32.04,88,72.84,4.0
lira,UG,1604802710,100,2.23,32.91,96,65.82,2.04
silver city,US,1604802711,75,32.77,-108.28,58,59.0,8.05
port hardy,CA,1604802669,20,50.7,-127.42,56,46.4,13.87
sao joao da barra,BR,1604802712,100,-21.64,-41.05,88,73.6,7.43
iracoubo,GF,1604802713,0,5.48,-53.2,81,78.93,14.67
provideniya,RU,1604802696,0,64.38,-173.3,93,27.41,5.48
hobart,AU,1604802493,20,-42.88,147.33,44,66.99,9.17
bayji,IQ,1604802715,24,34.93,43.49,51,63.46,2.42
kapaa,US,1604802689,90,22.08,-159.32,83,80.6,17.22
port alfred,ZA,1604802697,0,-33.59,26.89,77,64.18,8.7
chicama,PE,1604802705,45,-7.84,-79.15,83,61.84,5.23
saint anthony,US,1604802718,1,45.02,-93.22,59,66.2,20.8
qaanaaq,GL,1604802700,1,77.48,-69.36,68,-11.45,10.36
arraial do cabo,BR,1604802477,99,-22.97,-42.03,79,72.34,9.17
hermanus,ZA,1604802682,85,-34.42,19.23,79,59.0,4.0
mataura,NZ,1604802688,0,-46.19,168.86,55,55.0,10.0
tuatapere,NZ,1604802721,8,-46.13,167.68,55,55.0,10.0
yar-sale,RU,1604802722,94,66.83,70.83,99,25.34,1.23
norman wells,CA,1604802701,75,65.28,-126.83,92,28.4,3.36
chokurdakh,RU,1604802696,100,70.63,147.92,95,2.19,3.33
morant bay,JM,1604802724,75,17.88,-76.41,88,78.8,18.34
atuona,PF,1604802409,20,-9.8,-139.03,79,77.59,14.14
kruisfontein,ZA,1604802725,0,-34.0,24.73,92,55.0,1.01
abay,KZ,1604802726,40,49.63,72.85,38,42.8,29.08
faanui,PF,1604802723,97,-16.48,-151.75,76,79.34,11.27
pevek,RU,1604802722,99,69.7,170.31,97,13.64,2.55
lavrentiya,RU,1604802701,10,65.58,-171.0,95,27.97,5.12
umtata,ZA,1604802728,0,-31.59,28.78,93,60.8,1.12
hirara,JP,1604802729,40,24.8,125.28,78,82.4,8.05
trinidad,BO,1604802721,0,-14.83,-64.9,44,83.5,2.62
uberlandia,BR,1604802730,0,-18.92,-48.28,47,77.0,6.93
lagoa,PT,1604802731,28,39.05,-27.98,72,61.09,15.17
port-cartier,CA,1604802732,0,50.03,-66.87,68,26.6,5.82
praia,CV,1604802688,0,14.92,-23.51,83,77.0,13.87
vaini,TO,1604802690,20,-21.2,-175.2,74,80.6,9.17
avarua,CK,1604802734,67,-21.21,-159.78,78,77.0,8.34
pangnirtung,CA,1604802735,93,66.15,-65.71,83,4.32,3.31
torrington,US,1604802736,51,41.8,-73.12,80,54.0,3.29
mandera,KE,1604802736,100,3.94,41.87,76,78.24,7.83
naco,MX,1604802738,5,31.33,-109.95,73,59.0,5.99
adrar,MR,1604802738,0,20.5,-10.07,21,80.13,8.5
camabatela,AO,1604802739,100,-8.19,15.38,100,65.28,2.95
coquimbo,CL,1604802413,98,-29.95,-71.34,87,55.4,4.7
punta arenas,CL,1604802684,20,-53.15,-70.92,71,51.8,24.16
leningradskiy,RU,1604802680,100,69.38,178.42,95,18.07,8.46
half moon bay,US,1604802683,90,37.46,-122.43,71,54.0,13.87
romny,UA,1604802743,6,50.75,33.47,96,41.7,9.69
cockburn town,TC,1604802719,100,21.46,-71.14,80,79.54,21.14
thompson,CA,1604802605,90,55.74,-97.86,85,15.8,6.93
new norfolk,AU,1604802685,0,-42.78,147.06,42,68.0,1.99
pochutla,MX,1604802702,62,15.74,-96.47,83,80.01,2.53
barrow,US,1604802687,90,71.29,-156.79,86,30.2,20.8
butaritari,KI,1604802689,66,3.07,172.79,69,81.28,8.5
bethel,US,1604802688,1,41.37,-73.41,81,57.99,3.53
cidreira,BR,1604802704,36,-30.18,-50.21,85,67.73,15.39
kodiak,US,1604802699,90,57.79,-152.41,87,46.4,14.99
kahului,US,1604802682,20,20.89,-156.47,55,87.8,18.34
puerto ayora,EC,1604802668,18,-0.74,-90.35,81,68.0,4.0
cairns,AU,1604802751,5,-16.92,145.77,52,90.0,13.87
bilibino,RU,1604802730,100,68.05,166.44,91,1.15,1.86
xining,CN,1604802752,90,36.62,101.77,64,38.28,0.09
san policarpo,PH,1604802701,94,12.18,125.51,75,83.3,8.52
amahai,ID,1604802753,84,-3.33,128.92,61,84.29,5.32
